"","SampleID","SampleType","Ext.date","PCR.date","Seq.date","ID_Number","Date","Time","Season","General_Loc","Lat","Long","Species"
"1","BLA20220921.E","control",20220921,20220928,20221013,NA,NA,NA,NA,NA,NA,NA,NA
"2","NEG20220928.ban","control",NA,20220928,20221013,NA,NA,NA,NA,NA,NA,NA,NA
"3","POS20220928.ban","control",NA,20220928,20221013,NA,NA,NA,NA,NA,NA,NA,NA
"4","BIS12","sample",20220921,20220928,20221013,"12","27-5-2022",12:30:00,"Spring","Middle Panther","51.598009",-115.643403,"Bison"
"5","ELK49","sample",20220921,20220928,20221013,"49","16-6-2022",09:20:00,"Spring","Bighorn Flats","51.73404",-115.53532,"Elk"
"6","BIS56","sample",20220921,20220928,20221013,"56","25-7-2022",16:35:00,"Summer","Divide Pass","51.7395742",-115.9223924,"Bison"
"7","ELK75","sample",20220921,20220928,20221013,"75","24-7-2022",15:04:00,"Summer","1km east of Scotch pasture","51.667463",-115.816518,"Elk"
"8","BIS1","sample",20220921,20220928,20221013,"1","10-5-2022",19:56:00,"Spring","Scotch Pasture","51.666789",-115.839642,"Bison"
"9","BIS9","sample",20220921,20220928,20221013,"9","12-5-2022",18:15:00,"Spring","Tyrell Flats","51.675648",-115.782128,"Bison"
"10","ELK16","sample",20220921,20220928,20221013,"16","28-5-2022",09:50:00,"Spring","Barrier Drift Fence North","51.617483",-115.595718,"Elk"
"11","ELK24","sample",20220921,20220928,20221013,"24","6-6-2022",11:30:00,"Spring","Mare Flat","51.733929",-115.551852,"Elk"
"12","BHS29","sample",20220921,20220928,20221013,"29","27-05-2022",11:08:00,"Spring","Middle Panther","51.598436",-115.641427,"BighornSheep"
"13","BHS36","sample",20220921,20220928,20221013,"36","9-6-2022",10:20:00,"Spring","Hat Mountain","51.766448",-115.578738,"BighornSheep"
"14","BHS42","sample",20220921,20220928,20221013,"42","26-7-2022",12:45:00,"Summer","Divide","51.7215849",-115.9329318,"BighornSheep"
"15","ELK54","sample",20220921,20220928,20221013,"54","27-7-2022",11:00:00,"Summer","cascade fire road south of scotch","51.625062",-115.828493,"Elk"
"16","BHS58","sample",20220921,20220928,20221013,"58","27-6-2022",16:20:00,"Spring","Middle Panther Saltlick","51.592128",-115.655099,"BighornSheep"
"17","BIS2","sample",20220921,20220928,20221013,"2","2010-05-22",20:15:00,"Spring",NA,"51.66519",-115.837124,"Bison"
"18","ELK17","sample",20220921,20220928,20221013,"17","19-5-2022",11:30:00,"Spring",NA,"51.740518",-115.552423,"Elk"
"19","BHS27","sample",20220921,20220928,20221013,"27","12-5-2022",15:20:00,"Spring","Wapiti west slopes","51.708401",-115.789557,"BighornSheep"
"20","BHS33","sample",20220921,20220928,20221013,"33","9-6-2022",09:24:00,"Spring","Hat Mountain","51.764686",-115.573547,"BighornSheep"
"21","ELK48","sample",20220921,20220928,20221013,"48","14-7-2022",12:45:00,"Summer","YHT Pasture","51.743894",-115.558835,"Elk"
"22","BHS53","sample",20220921,20220928,20221013,"53","1-8-2022",20:30:00,"Summer","Hat Mountain","51.7659762",-115.577232,"BighornSheep"
"23","BIS59","sample",20220921,20220928,20221013,"59","26-07-2022",10:25:00,"Summer","Divide Cabin","51.725379",-115.907317,"Bison"
"24","BIS72","sample",20220921,20220928,20221013,"72","10-8-2022",11:45:00,"Summer","Tyrell Slopes","51.6835981",-115.8079704,"Bison"
"25","BHS40","sample",20220921,20220928,20221013,"40","1-8-2022",20:30:00,"Summer","Hat Mountain","51.7659764",-115.5772317,"BighornSheep"
"26","BLA20240118","control",20240118,20240122,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"27","BLA20240119","control",20240119,20240122,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"28","BLA20240124","control",20240124,20240126,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"29","BLA20240125","control",20240125,20240212,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"30","BLA20240130","control",20240130,20240201,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"31","BLA20240131","control",20240131,20240201,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"32","BLA20240205","control",20240207,20240214,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"33","BLA20240219","control",20240219,20240221,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"34","NEG20240214","control",NA,20240214,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"35","POS20240214","control",NA,20240214,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"36","NEG20240221","control",NA,20240221,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"37","POS20240221","control",NA,20240221,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"38","NEG20240201","control",NA,20240201,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"39","POS20240201","control",NA,20240201,20240304,NA,NA,NA,NA,NA,NA,NA,NA
"40","32BHS","sample",20240118,20240122,20240304,"32","27-05-2022",13:30:00,"Spring","Middle Panther","51.593315",-115.648812,"BighornSheep"
