SampleID,SampleType,Ext date,PCR date,Seq date
BLA20220921.E,control,20220921,20220928,20221013
NEG20220928.ban,control,,20220928,20221013
POS20220928.ban,control,,20220928,20221013
BIS12,sample,20220921,20220928,20221013
ELK49,sample,20220921,20220928,20221013
BIS56,sample,20220921,20220928,20221013
ELK75,sample,20220921,20220928,20221013
BIS1,sample,20220921,20220928,20221013
BIS9,sample,20220921,20220928,20221013
ELK16,sample,20220921,20220928,20221013
ELK24,sample,20220921,20220928,20221013
BHS29,sample,20220921,20220928,20221013
BHS36,sample,20220921,20220928,20221013
BHS42,sample,20220921,20220928,20221013
ELK54,sample,20220921,20220928,20221013
BHS58,sample,20220921,20220928,20221013
BIS2,sample,20220921,20220928,20221013
ELK17,sample,20220921,20220928,20221013
BHS27,sample,20220921,20220928,20221013
BHS33,sample,20220921,20220928,20221013
ELK48,sample,20220921,20220928,20221013
BHS53,sample,20220921,20220928,20221013
BIS59,sample,20220921,20220928,20221013
BIS72,sample,20220921,20220928,20221013
BHS40,sample,20220921,20220928,20221013
BLA20240118,control,20240118,20240122,20240304
BLA20240119,control,20240119,20240122,20240304
BLA20240124,control,20240124,20240126,20240304
BLA20240125,control,20240125,20240212,20240304
BLA20240130,control,20240130,20240201,20240304
BLA20240131,control,20240131,20240201,20240304
BLA20240205,control,20240207,20240214,20240304
BLA20240219,control,20240219,20240221,20240304
NEG20240214,control,,20240214,20240304
POS20240214,control,,20240214,20240304
NEG20240221,control,,20240221,20240304
POS20240221,control,,20240221,20240304
NEG20240201,control,,20240201,20240304
POS20240201,control,,20240201,20240304
32BHS,sample,20240118,20240122,20240304
38WTD,sample,20240118,20240122,20240304
47ELK,sample,20240118,20240122,20240304
85,sample,20240118,20240122,20240304
41,sample,20240118,20240122,20240304
99,sample,20240118,20240122,20240304
62,sample,20240119,20240122,20240304
89,sample,20240119,20240122,20240304
13BIS,sample,20240119,20240122,20240304
7BIS,sample,20240119,20240122,20240304
65,sample,20240119,20240122,20240304
43,sample,20240119,20240122,20240304
30BHS,sample,20240119,20240122,20240304
79,sample,20240119,20240122,20240304
80,sample,20240119,20240122,20240304
28BHS,sample,20240119,20240122,20240304
312,sample,20240124,20240126,20240304
G332,sample,20240124,20240126,20240304
387,sample,20240124,20240126,20240304
G331,sample,20240124,20240126,20240304
396,sample,20240124,20240126,20240304
324,sample,20240124,20240126,20240304
226,sample,20240124,20240126,20240304
204,sample,20240124,20240126,20240304
209,sample,20240124,20240126,20240304
223A,sample,20240124,20240126,20240304
222,sample,20240124,20240126,20240304
401,sample,20240124,20240126,20240304
455,sample,20240124,20240126,20240304
421,sample,20240124,20240126,20240304
418,sample,20240124,20240126,20240304
412,sample,20240124,20240126,20240304
114,sample,20240124,20240126,20240304
473,sample,20240124,20240126,20240304
202,sample,20240124,20240126,20240304
403,sample,20240125,20240212,20240304
428,sample,20240125,20240212,20240304
445,sample,20240125,20240212,20240304
424,sample,20240125,20240212,20240304
453,sample,20240125,20240212,20240304
415,sample,20240125,20240212,20240304
77,sample,20240125,20240212,20240304
15ELK,sample,20240125,20240212,20240304
63,sample,20240125,20240212,20240304
83,sample,20240125,20240212,20240304
76,sample,20240125,20240212,20240304
39BIS,sample,20240125,20240212,20240304
35BHS,sample,20240125,20240212,20240304
92,sample,20240125,20240212,20240304
318,sample,20240125,20240212,20240304
365,sample,20240125,20240212,20240304
322,sample,20240125,20240212,20240304
353,sample,20240125,20240212,20240304
317,sample,20240125,20240212,20240304
467,sample,20240130,20240201,20240304
448,sample,20240130,20240201,20240304
410,sample,20240130,20240201,20240304
409,sample,20240130,20240201,20240304
459,sample,20240130,20240201,20240304
454,sample,20240130,20240201,20240304
404,sample,20240130,20240201,20240304
405,sample,20240130,20240201,20240304
107,sample,20240130,20240201,20240304
145,sample,20240130,20240201,20240304
100,sample,20240130,20240201,20240304
148,sample,20240130,20240201,20240304
132,sample,20240130,20240201,20240304
146,sample,20240130,20240201,20240304
141,sample,20240130,20240201,20240304
386,sample,20240130,20240201,20240304
334,sample,20240130,20240201,20240304
320,sample,20240130,20240201,20240304
357,sample,20240130,20240201,20240304
310,sample,20240130,20240201,20240304
8BIS,sample,20240131,20240201,20240304
4BIS,sample,20240131,20240201,20240304
71,sample,20240131,20240201,20240304
G335,sample,20240207,20240214,20240304
210,sample,20240207,20240214,20240304
207,sample,20240207,20240214,20240304
359,sample,20240207,20240214,20240304
121,sample,20240207,20240214,20240304
388,sample,20240207,20240214,20240304
301,sample,20240207,20240214,20240304
105,sample,20240207,20240214,20240304
354,sample,20240207,20240214,20240304
472,sample,20240207,20240214,20240304
474,sample,20240207,20240214,20240304
307,sample,20240207,20240214,20240304
117,sample,20240207,20240214,20240304
413,sample,20240207,20240214,20240304
326,sample,20240207,20240214,20240304
332,sample,20240207,20240214,20240304
451,sample,20240207,20240214,20240304
407,sample,20240207,20240214,20240304
431,sample,20240207,20240214,20240304
31BHS,sample,20240207,20240214,20240304
ELK46,sample,20240207,20240214,20240304
325,sample,20240207,20240214,20240304
362,sample,20240207,20240214,20240304
103,sample,20240207,20240214,20240304
220,sample,20240207,20240214,20240304
438,sample,20240207,20240214,20240304
381,sample,20240207,20240214,20240304
