"","diff","lwr","upr","p adj"
"Bison-BighornSheep",-0.119598000617628,-0.157615269059948,-0.0815807321753086,2.49023024423423e-13
"Deer-BighornSheep",-0.0137353343480094,-0.0810968376391927,0.0536261689431738,0.991927572021742
"Elk-BighornSheep",-0.0514916755033811,-0.0922028757273026,-0.0107804752794596,0.00454292386288535
"Goat-BighornSheep",-0.064342356260529,-0.207814427538031,0.0791297150169726,0.79155951653787
"Moose-BighornSheep",-0.290196934505503,-0.464722304705456,-0.115671564305549,4.44217014191617e-05
"Deer-Bison",0.105862666269619,0.0401824350029119,0.171542897536326,8.54333079367553e-05
"Elk-Bison",0.0681063251142471,0.0302417971590193,0.105970853069475,7.17270839700745e-06
"Goat-Bison",0.0552556443570992,-0.0874347753992967,0.197946064113495,0.876146714366714
"Moose-Bison",-0.170598933887875,-0.344482301399062,0.00328443362331349,0.0579332986815787
"Elk-Deer",-0.0377563411553716,-0.105031759423153,0.0295190771124097,0.591672768040928
"Goat-Deer",-0.0506070219125195,-0.203750142280655,0.102536098455616,0.933218835373142
"Moose-Deer",-0.276461600157493,-0.459020316528045,-0.0939028837869415,0.000284139694875285
"Goat-Elk",-0.0128506807571479,-0.156282354435291,0.130580992920995,0.999845731503456
"Moose-Elk",-0.238705259002122,-0.413197421063596,-0.0642130969406476,0.00152697061801277
"Moose-Goat",-0.225854578244974,-0.448057971634616,-0.00365118485533183,0.0438681842012525
