"","diff","lwr","upr","p adj"
"BighornSheep Summer-BighornSheep Spring",-0.0346606922502642,-0.132755162610601,0.0634337781100723,0.972793769515378
"BighornSheep Winter-BighornSheep Spring",-0.0425232474275495,-0.14671625190163,0.0616697570465314,0.936762228530809
"Bison Spring-BighornSheep Spring",-0.186681878824102,-0.276185017604539,-0.0971787400436643,1.49690753126208e-08
"Bison Summer-BighornSheep Spring",-0.113079375079674,-0.199471650484761,-0.0266870996745869,0.00186250329468551
"Bison Winter-BighornSheep Spring",-0.103174722110972,-0.19500569308561,-0.0113437511363341,0.015100184191487
"Elk Spring-BighornSheep Spring",-0.102425090927462,-0.1919282297079,-0.0129219521470251,0.0121380069962155
"Elk Summer-BighornSheep Spring",-0.0464215836262966,-0.14327795888594,0.0504347916333472,0.854188966337166
"Elk Winter-BighornSheep Spring",-0.144177677009898,-0.248370681483979,-0.0399846725358173,0.000731034691111909
"BighornSheep Winter-BighornSheep Summer",-0.00786255517728529,-0.118932671142872,0.103207560788302,0.999999818313351
"Bison Spring-BighornSheep Summer",-0.152021186573838,-0.249443978213286,-0.0545983949343895,6.68893226964951e-05
"Bison Summer-BighornSheep Summer",-0.0784186828294096,-0.172991478753721,0.0161541130949019,0.193707062939938
"Bison Winter-BighornSheep Summer",-0.0685140298607078,-0.168079665043826,0.0310516053224108,0.43875710465362
"Elk Spring-BighornSheep Summer",-0.0677643986771982,-0.165187190316646,0.0296583929622498,0.423330963884924
"Elk Summer-BighornSheep Summer",-0.0117608913760324,-0.115979632050203,0.0924578492981382,0.999992888219631
"Elk Winter-BighornSheep Summer",-0.109516984759634,-0.220587100725221,0.00155313120595291,0.0566338751307702
"Bison Spring-BighornSheep Winter",-0.144158631396552,-0.247719518785973,-0.0405977440071319,0.000657383200327266
"Bison Summer-BighornSheep Winter",-0.0705561276521243,-0.171440570431982,0.0303283151277333,0.415518389991865
"Bison Winter-BighornSheep Winter",-0.0606514746834225,-0.166230699796504,0.0449277504296591,0.682768292607
"Elk Spring-BighornSheep Winter",-0.059901843499913,-0.163462730889333,0.0436590438895074,0.674545599603464
"Elk Summer-BighornSheep Winter",-0.00389833619874708,-0.113876529372535,0.10607985697504,0.99999999925935
"Elk Winter-BighornSheep Winter",-0.101654429582349,-0.218145749974341,0.0148368908096436,0.142269832370488
"Bison Summer-Bison Spring",0.0736025037444279,-0.0120263492504402,0.159231356739296,0.156545064198283
"Bison Winter-Bison Spring",0.0835071567131297,-0.00760597321715621,0.174620286643416,0.101544827247972
"Elk Spring-Bison Spring",0.0842567878966393,-0.00450968700857816,0.173023262801857,0.0777427879663257
"Elk Summer-Bison Spring",0.140260295197805,0.044084244935875,0.236436345459735,0.000274482758019667
"Elk Winter-Bison Spring",0.0425042018142036,-0.0610566855752168,0.146065089203624,0.934750839783713
"Bison Winter-Bison Summer",0.00990465296870174,-0.0781545080755151,0.0979638140129186,0.999993068324782
"Elk Spring-Bison Summer",0.0106542841522113,-0.0749745688426569,0.0962831371470795,0.999984812360284
"Elk Summer-Bison Summer",0.0666577914533772,-0.0266301822736979,0.159945765180452,0.384961982321007
"Elk Winter-Bison Summer",-0.0310983019302244,-0.131982744710082,0.0697861408496332,0.988539881536332
"Elk Spring-Bison Winter",0.000749631183509569,-0.0903634987467763,0.0918627611137955,1
"Elk Summer-Bison Winter",0.0567531384846754,-0.0415929240830749,0.155099201052426,0.677348086845917
"Elk Winter-Bison Winter",-0.0410029548989261,-0.146582180012008,0.0645762702141555,0.952269610087701
"Elk Summer-Elk Spring",0.0560035073011659,-0.0401725429607642,0.152179557563096,0.66642800961654
"Elk Winter-Elk Spring",-0.0417525860824357,-0.145313473471856,0.0618083013069846,0.940934113138059
"Elk Winter-Elk Summer",-0.0977560933836016,-0.207734286557389,0.0122220997901859,0.125954705339238
